"CITY","COUNTRY","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Los Angeles","USA","#Theater - 2 Tix Hamilton MEZZR Row G Pantages Hollywood Los Angeles Friday 12/22/17 8:00PM https://t.co/alZxfdvYg4 https://t.co/M9IHuzeTfG",FALSE,0,NA,2017-05-18 07:52:06,FALSE,NA,"865112746638974976",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Check out Vintage Garfield YOU KNOW YOU'RE IN LUCK Shamrock Coffee Tea Mug Cup NOS https://t.co/oFXCGSsOlk @eBay",FALSE,0,NA,2017-05-18 07:46:25,FALSE,NA,"865111317488652288",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fetter9509",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Brazil’s President Temer hit by bribery allegations - https://t.co/IvZhRD18jA denies report he was taped approving payments to silence fo...",FALSE,0,NA,2017-05-18 07:37:08,FALSE,NA,"865108982062604288",NA,"<a href=""http://www.finance-radar.com"" rel=""nofollow"">Finance Radar</a>","FinanceRadr",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Did you know we have a top rated eBay store?Check us out at https://t.co/xmRcDaoQXW #ebay #salvationarmy #nova",FALSE,0,NA,2017-05-18 07:30:06,FALSE,NA,"865107212187963392",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","SalArmyNOVA",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","#sports - 2 Tickets Notre Dame vs Georgia UGA Football Tickets lower level https://t.co/GchW1W1BWE https://t.co/NjJj8epF78",FALSE,0,NA,2017-05-18 07:25:08,FALSE,NA,"865105958652887040",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","#Theater - 1 tickets Jake Shimabukuro ukulele Segerstrom SCFTA 5/27 SAT OCPAC 05/27 etix https://t.co/qnxlDCcDHJ https://t.co/uLqpHqefaB",FALSE,0,NA,2017-05-18 07:20:10,FALSE,NA,"865104711006814210",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","2 KENDRICK LAMAR TICKETS 7/17/17 117 ROW V DULUTH GA TIX https://t.co/TmWVXAGGS8 https://t.co/28sPoHFAy1",FALSE,0,NA,2017-05-18 06:57:54,FALSE,NA,"865099105390833664",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Manchester United vs Manchester City presale code tickets Houston ICC July 20th https://t.co/wZRPItL3jw https://t.co/amChVEdG1M",FALSE,0,NA,2017-05-18 06:57:52,FALSE,NA,"865099099481165825",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Star Wars Princess Leia Boushh Unmasked SDCC 2015 Funko Pop! 54 LE 1008 Vaulted https://t.co/uoLPST7OM1",FALSE,0,NA,2017-05-18 06:43:08,FALSE,NA,"865095391569731585",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","wien_sam",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Check out THE NORTH FACE Hoodie Pullover Long Sleeve Light Blue Womens Size Medium #TheNorthFace https://t.co/E0euO9XL99 via @eBay",FALSE,0,NA,2017-05-18 06:34:22,FALSE,NA,"865093185365823488",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Alexand_Peddler",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","2 TICKETS TO POPOVICH'S COMEDY PET THEATER AT THE V THEATER IN LAS VEGAS https://t.co/aeOomsO8sm https://t.co/cn9FM0uy9m",FALSE,0,NA,2017-05-18 06:25:11,FALSE,NA,"865090871875608576",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","#sports - FOUR (4) NASCAR ALL STAR RACE TICKETS (5-20-2017): GREAT VIEW OF PIT ROW! https://t.co/URpZDPBpNn https://t.co/F3BhNmDhs8",FALSE,0,NA,2017-05-18 06:22:11,FALSE,NA,"865090119358832640",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","liveeventsus",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","PERGAMON in Mysia Genuine  133BC Authentic Ancient Greek Coin ATHENA NIKE i61398 https://t.co/sgvRe3yCfK https://t.co/bnPni7Ai3g",FALSE,0,NA,2017-05-18 06:06:57,FALSE,NA,"865086284108353537",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ProfCoinDealer",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","HADRIAN 117AD Indi-Stratoniceia Lydia Authentic Ancient Roman Coin SENATE i61401 https://t.co/OaXeJF4xp2 https://t.co/vLpzoTjCNv",FALSE,0,NA,2017-05-18 06:06:55,FALSE,NA,"865086277405868033",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ProfCoinDealer",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","Check out my listing on @eBay: https://t.co/BmtpLxCTiE via @eBay",FALSE,0,NA,2017-05-18 05:58:20,FALSE,NA,"865084117431468032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","val_tyurin",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","RT @fetter9509: Check out Starbucks 1999 Kyoto  Japan Coffee Tea Mug Cup Purple Orange https://t.co/nugdAEoxyl @eBay#starbucks#kyoto",FALSE,0,NA,2017-05-18 05:57:56,FALSE,NA,"865084013979070464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davesbargains",16,TRUE,FALSE,NA,NA
"Los Angeles","USA","Funko POP! Disney Nightmare Before Christmas SDCC 2016 PAJAMA JACK #205 Figure https://t.co/1zGqKzzpsz",FALSE,0,NA,2017-05-18 05:53:32,FALSE,NA,"865082908830314498",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","wien_sam",0,FALSE,FALSE,NA,NA
"Los Angeles","USA","350-100BC Original Genuine Ancient GREEK CITY Coin APOLLO &amp; BULL Rare i61393 https://t.co/3GolZUpiFv https://t.co/5WzLN7Vpp9",FALSE,0,NA,2017-05-18 05:41:20,FALSE,NA,"865079839417565184",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ProfCoinDealer",0,FALSE,FALSE,NA,NA
